Week Endings,Avg Ticket Price ($),Top Ticket Price ($),Seats Sold,Seats in Theatre,% Cap
"SEP 10, 2023",$140.01,$199.00,"13,217","1,696",97.41%
"SEP 3, 2023",$154.76,$199.00,"13,423","1,696",98.93%
"AUG 27, 2023",$156.39,$199.00,"12,737","1,696",93.88%
"AUG 20, 2023",$164.95,$199.00,"13,499","1,696",99.49%
"AUG 13, 2023",$184.73,$199.00,"13,362","1,696",98.48%
"AUG 6, 2023",$190.00,$199.00,"13,124","1,696",96.73%
"JUL 30, 2023",$189.94,$199.00,"14,814","1,696",97.05%
"JUL 23, 2023",$187.09,$199.00,"13,202","1,696",97.30%
"JUL 16, 2023",$183.80,$199.00,"14,358","1,696",94.06%
"JUL 9, 2023",$190.78,$199.00,"12,749","1,696",93.96%
"JUL 2, 2023",$186.70,$199.00,"13,314","1,696",98.13%
"JUN 25, 2023",$183.71,$199.00,"13,183","1,696",97.16%
"JUN 18, 2023",$181.86,$199.00,"12,918","1,696",95.21%
"JUN 11, 2023",$178.49,$199.00,"12,798","1,696",94.32%
"JUN 4, 2023",$172.85,$199.00,"12,933","1,696",95.32%
"MAY 28, 2023",$177.18,$199.00,"12,676","1,696",93.43%
"MAY 21, 2023",$169.61,$199.00,"12,645","1,696",93.20%
"MAY 14, 2023",$156.24,$199.00,"12,545","1,696",92.46%
"MAY 7, 2023",$163.03,$199.00,"12,152","1,696",89.56%
"APR 30, 2023",$166.49,$199.00,"12,946","1,696",95.42%
"APR 23, 2023",$168.96,$199.00,"12,816","1,696",94.46%
"APR 16, 2023",$190.43,$199.00,"14,840","1,696",97.22%
"APR 9, 2023",$220.08,$199.00,"13,541","1,696",99.80%
"APR 2, 2023",$168.81,$199.00,"13,410","1,696",98.84%
"MAR 26, 2023",$159.41,$199.00,"13,367","1,696",98.52%
"MAR 19, 2023",$166.14,$199.00,"13,557","1,696",99.92%
"MAR 12, 2023",$121.86,$199.00,"13,441","1,696",99.06%
"MAR 5, 2023",$129.36,$199.00,"13,030","1,696",96.03%
"FEB 26, 2023",$142.55,$199.00,"13,548","1,696",99.85%
"FEB 19, 2023",$144.24,$199.00,"13,378","1,696",98.60%
"FEB 12, 2023",$127.19,$199.00,"12,786","1,696",94.24%
"FEB 5, 2023",$126.50,$199.00,"12,564","1,696",92.60%
"JAN 29, 2023",$132.66,$199.00,"12,707","1,696",93.65%
"JAN 22, 2023",$139.00,$199.00,"12,917","1,696",95.20%
"JAN 15, 2023",$144.94,$199.00,"13,011","1,696",95.89%
"JAN 8, 2023",$147.48,$199.00,"13,550","1,696",99.87%
"JAN 1, 2023",$284.89,$199.00,"15,147","1,696",99.23%
"DEC 25, 2022",$226.48,$199.00,"11,437","1,696",96.34%
"DEC 18, 2022",$185.67,$199.00,"13,190","1,696",97.21%
"DEC 11, 2022",$176.59,$199.00,"13,398","1,696",98.75%
"DEC 4, 2022",$167.92,$199.00,"12,881","1,696",94.94%
"NOV 27, 2022",$209.43,$199.00,"12,772","1,696",94.13%
"NOV 20, 2022",$138.08,$199.00,"13,445","1,696",99.09%
"NOV 13, 2022",$116.26,$199.00,"13,227","1,696",97.49%
"NOV 6, 2022",$131.71,$199.00,"13,371","1,696",98.55%
"OCT 30, 2022",$129.89,$199.00,"13,124","1,696",96.73%
"OCT 23, 2022",$126.63,$199.00,"13,541","1,696",99.80%
"OCT 16, 2022",$134.30,$199.00,"13,517","1,696",99.62%
"OCT 9, 2022",$153.37,$199.00,"13,471","1,696",99.29%
"OCT 2, 2022",$118.96,$199.00,"13,231","1,696",97.52%
"SEP 25, 2022",$131.31,$199.00,"12,973","1,696",95.61%
