,Week Endings,Avg Ticket Price ($),Top Ticket Price ($),Seats Sold,Seats in Theatre,% Cap
0,2023-09-10,140.01,199.0,13217,1696,97.41
1,2023-09-03,154.76,199.0,13423,1696,98.93
2,2023-08-27,156.39,199.0,12737,1696,93.88
3,2023-08-20,164.95,199.0,13499,1696,99.49
4,2023-08-13,184.73,199.0,13362,1696,98.48
5,2023-08-06,190.0,199.0,13124,1696,96.73
6,2023-07-30,189.94,199.0,14814,1696,97.05
7,2023-07-23,187.09,199.0,13202,1696,97.3
8,2023-07-16,183.8,199.0,14358,1696,94.06
9,2023-07-09,190.78,199.0,12749,1696,93.96
10,2023-07-02,186.7,199.0,13314,1696,98.13
11,2023-06-25,183.71,199.0,13183,1696,97.16
12,2023-06-18,181.86,199.0,12918,1696,95.21
13,2023-06-11,178.49,199.0,12798,1696,94.32
14,2023-06-04,172.85,199.0,12933,1696,95.32
15,2023-05-28,177.18,199.0,12676,1696,93.43
16,2023-05-21,169.61,199.0,12645,1696,93.2
17,2023-05-14,156.24,199.0,12545,1696,92.46
18,2023-05-07,163.03,199.0,12152,1696,89.56
19,2023-04-30,166.49,199.0,12946,1696,95.42
20,2023-04-23,168.96,199.0,12816,1696,94.46
21,2023-04-16,190.43,199.0,14840,1696,97.22
22,2023-04-09,220.08,199.0,13541,1696,99.8
23,2023-04-02,168.81,199.0,13410,1696,98.84
24,2023-03-26,159.41,199.0,13367,1696,98.52
25,2023-03-19,166.14,199.0,13557,1696,99.92
26,2023-03-12,121.86,199.0,13441,1696,99.06
27,2023-03-05,129.36,199.0,13030,1696,96.03
28,2023-02-26,142.55,199.0,13548,1696,99.85
29,2023-02-19,144.24,199.0,13378,1696,98.6
30,2023-02-12,127.19,199.0,12786,1696,94.24
31,2023-02-05,126.5,199.0,12564,1696,92.6
32,2023-01-29,132.66,199.0,12707,1696,93.65
33,2023-01-22,139.0,199.0,12917,1696,95.2
34,2023-01-15,144.94,199.0,13011,1696,95.89
35,2023-01-08,147.48,199.0,13550,1696,99.87
36,2023-01-01,284.89,199.0,15147,1696,99.23
37,2022-12-25,226.48,199.0,11437,1696,96.34
38,2022-12-18,185.67,199.0,13190,1696,97.21
39,2022-12-11,176.59,199.0,13398,1696,98.75
40,2022-12-04,167.92,199.0,12881,1696,94.94
41,2022-11-27,209.43,199.0,12772,1696,94.13
42,2022-11-20,138.08,199.0,13445,1696,99.09
43,2022-11-13,116.26,199.0,13227,1696,97.49
44,2022-11-06,131.71,199.0,13371,1696,98.55
45,2022-10-30,129.89,199.0,13124,1696,96.73
46,2022-10-23,126.63,199.0,13541,1696,99.8
47,2022-10-16,134.3,199.0,13517,1696,99.62
48,2022-10-09,153.37,199.0,13471,1696,99.29
49,2022-10-02,118.96,199.0,13231,1696,97.52
50,2022-09-25,131.31,199.0,12973,1696,95.61
51,2022-09-18,126.65,199.0,12942,1696,95.39
52,2022-09-11,123.38,199.0,12808,1696,94.4
53,2022-09-04,135.44,199.0,12979,1696,95.66
54,2022-08-28,135.78,199.0,13226,1696,97.48
55,2022-08-21,146.45,199.0,13524,1696,99.68
56,2022-08-14,154.33,199.0,13297,1696,98.0
57,2022-08-07,167.1,199.0,13302,1696,98.04
58,2022-07-31,163.88,199.0,13221,1696,97.44
59,2022-07-24,162.74,199.0,14960,1696,98.01
60,2022-07-17,161.61,199.0,13183,1696,97.16
61,2022-07-10,158.58,199.0,14872,1696,97.43
62,2022-07-03,161.0,199.0,13431,1696,98.99
63,2022-06-26,156.55,199.0,13524,1696,99.68
64,2022-06-19,145.93,199.0,13343,1696,98.34
65,2022-06-12,145.89,199.0,13374,1696,98.57
66,2022-06-05,142.88,199.0,13050,1696,96.18
67,2022-05-29,148.42,199.0,13477,1696,99.33
68,2022-05-22,136.16,199.0,13009,1696,95.88
69,2022-05-15,129.31,199.0,12659,1696,93.3
70,2022-05-08,130.06,199.0,13195,1696,97.25
71,2022-05-01,128.8,199.0,12697,1696,93.58
72,2022-04-24,149.19,199.0,13411,1696,98.84
73,2022-04-17,169.02,199.0,15152,1696,99.27
74,2022-04-10,138.93,199.0,13491,1696,99.43
75,2022-04-03,126.56,199.0,12979,1696,95.66
76,2022-03-27,129.44,199.0,13208,1696,97.35
77,2022-03-20,132.74,199.0,13399,1696,98.75
78,2022-03-13,117.46,199.0,12916,1696,95.19
79,2022-03-06,86.76,199.0,12622,1696,93.03
80,2022-02-27,119.03,199.0,13347,1696,98.37
81,2022-02-20,112.7,199.0,12932,1696,95.31
82,2022-02-13,99.03,199.0,12875,1696,94.89
83,2022-02-06,95.09,199.0,12185,1696,89.81
84,2022-01-30,90.09,199.0,11219,1696,82.69
85,2022-01-23,93.92,199.0,11186,1696,82.44
86,2022-01-16,106.58,199.0,9992,1696,73.64
87,2022-01-09,116.45,199.0,11057,1696,81.49
88,2022-01-02,191.89,199.0,7727,1696,91.12
89,2021-12-19,160.62,199.0,13422,1696,98.92
90,2021-12-12,146.96,199.0,13491,1696,99.43
91,2021-12-05,146.19,199.0,13293,1696,97.97
92,2021-11-28,192.88,199.0,13147,1696,96.9
93,2021-11-21,120.5,199.0,13201,1696,97.3
94,2021-11-14,117.8,199.0,13451,1696,99.14
95,2021-11-07,121.11,199.0,11762,1696,99.07
96,2021-10-31,115.71,199.0,11049,1696,93.07
97,2021-10-24,119.03,199.0,13431,1696,98.99
98,2021-10-17,119.82,199.0,13495,1696,99.46
99,2021-10-10,119.43,199.0,13547,1696,99.85
100,2021-10-03,118.56,199.0,13532,1696,99.73
101,2021-09-26,138.67,199.0,13476,1696,99.32
102,2021-09-19,126.78,199.0,11735,1696,98.85
103,2020-03-08,99.05,237.0,11979,1696,88.29
104,2020-03-01,114.16,237.0,12391,1696,91.33
105,2020-02-23,140.55,225.0,13099,1696,96.54
106,2020-02-16,130.91,225.0,12784,1696,94.22
107,2020-02-09,111.14,237.0,12769,1696,94.11
108,2020-02-02,113.66,225.0,12363,1696,91.12
109,2020-01-26,124.68,237.0,12955,1696,95.48
110,2020-01-19,131.81,237.0,12804,1696,94.37
111,2020-01-12,126.22,250.0,12756,1696,94.02
112,2020-01-05,185.62,347.0,13431,1696,98.99
113,2019-12-29,228.82,427.0,15227,1696,99.76
114,2019-12-22,175.05,397.0,12878,1696,94.91
115,2019-12-15,162.63,297.0,12816,1696,94.46
116,2019-12-08,172.55,426.0,12635,1696,93.12
117,2019-12-01,192.12,434.0,12759,1696,94.04
118,2019-11-24,148.02,426.0,12477,1696,91.96
119,2019-11-17,132.36,252.0,12511,1696,92.21
120,2019-11-10,146.1,225.0,13151,1696,96.93
121,2019-11-03,150.1,250.0,13113,1696,96.65
122,2019-10-27,154.68,347.0,12924,1696,95.25
123,2019-10-20,160.32,237.0,13309,1696,98.09
124,2019-10-13,167.55,250.0,13384,1696,98.64
125,2019-10-06,146.6,237.0,13296,1696,98.0
126,2019-09-29,136.12,237.0,13471,1696,99.29
127,2019-09-22,140.31,237.0,13162,1696,97.01
128,2019-09-15,138.05,225.0,12832,1696,94.58
129,2019-09-08,141.58,225.0,11854,1696,87.37
130,2019-09-01,161.68,225.0,12596,1696,92.84
131,2019-08-25,166.22,225.0,12481,1696,91.99
132,2019-08-18,173.08,225.0,13368,1696,98.53
133,2019-08-11,186.05,225.0,13218,1696,97.42
134,2019-08-04,188.82,225.0,13181,1696,97.15
135,2019-07-28,187.73,225.0,14760,1696,96.7
136,2019-07-21,187.3,225.0,13551,1696,99.87
137,2019-07-14,187.67,225.0,12759,1696,94.04
138,2019-07-07,190.91,225.0,13519,1696,99.64
139,2019-06-30,179.18,225.0,13550,1696,99.87
140,2019-06-23,178.53,225.0,13569,1696,100.01
141,2019-06-16,171.79,225.0,13565,1696,99.98
142,2019-06-09,170.77,225.0,13562,1696,99.96
143,2019-06-02,165.59,225.0,13480,1696,99.35
144,2019-05-26,170.94,225.0,13556,1696,99.91
145,2019-05-19,156.31,225.0,13490,1696,99.43
146,2019-05-12,151.94,225.0,13440,1696,99.06
147,2019-05-05,164.05,225.0,13541,1696,99.8
148,2019-04-28,180.66,225.0,13569,1696,100.01
149,2019-04-21,206.81,225.0,15230,1696,99.78
150,2019-04-14,166.76,225.0,13465,1696,99.24
151,2019-04-07,159.83,225.0,13515,1696,99.61
152,2019-03-31,159.11,225.0,13568,1696,100.0
153,2019-03-24,156.84,225.0,13568,1696,100.0
154,2019-03-17,149.14,225.0,13571,1696,100.02
155,2019-03-10,130.49,225.0,13363,1696,98.49
156,2019-03-03,137.12,225.0,13094,1696,96.51
157,2019-02-24,148.72,225.0,13568,1696,100.0
158,2019-02-17,144.94,225.0,13565,1696,99.98
159,2019-02-10,129.13,225.0,13495,1696,99.46
160,2019-02-03,124.34,225.0,13263,1696,97.75
161,2019-01-27,138.19,225.0,13389,1696,98.68
162,2019-01-20,135.02,225.0,13291,1696,97.96
163,2019-01-13,141.67,225.0,13049,1696,96.17
164,2019-01-06,183.95,225.0,13418,1696,98.89
165,2018-12-30,242.15,225.0,15267,1696,100.02
166,2018-12-23,203.63,225.0,13560,1696,99.94
167,2018-12-16,174.62,225.0,13480,1696,99.35
168,2018-12-09,173.09,225.0,13459,1696,99.2
169,2018-12-02,162.06,225.0,13567,1696,99.99
170,2018-11-25,206.2,225.0,13464,1696,99.23
171,2018-11-18,151.21,225.0,13469,1696,99.27
172,2018-11-11,153.81,225.0,13539,1696,99.79
173,2018-11-04,154.44,225.0,13537,1696,99.77
174,2018-10-28,155.74,225.0,13508,1696,99.56
175,2018-10-21,163.93,225.0,13524,1696,99.68
176,2018-10-14,160.64,225.0,13427,1696,98.96
177,2018-10-07,167.78,225.0,13572,1696,100.03
178,2018-09-30,146.66,225.0,13570,1696,100.01
179,2018-09-23,150.89,225.0,13566,1696,99.99
180,2018-09-16,142.36,225.0,13529,1696,99.71
181,2018-09-09,141.27,225.0,13270,1696,97.8
182,2018-09-02,156.4,225.0,13495,1696,99.46
183,2018-08-26,161.58,225.0,13374,1696,98.57
184,2018-08-19,172.44,225.0,13570,1696,100.01
185,2018-08-12,177.74,225.0,13571,1696,100.02
186,2018-08-05,182.43,225.0,13573,1696,100.04
187,2018-07-29,182.42,225.0,15263,1696,99.99
188,2018-07-22,184.03,225.0,13520,1696,99.65
189,2018-07-15,179.73,225.0,15145,1696,99.22
190,2018-07-08,183.79,225.0,13568,1696,100.0
191,2018-07-01,171.84,225.0,13569,1696,100.01
192,2018-06-24,170.06,225.0,13572,1696,100.03
193,2018-06-17,168.42,225.0,13568,1696,100.0
194,2018-06-10,162.4,225.0,13571,1696,100.02
195,2018-06-03,161.36,225.0,13539,1696,99.79
196,2018-05-27,162.82,225.0,13514,1696,99.6
197,2018-05-20,157.98,225.0,13554,1696,99.9
198,2018-05-13,154.48,225.0,11876,1696,100.03
199,2018-05-06,156.58,225.0,13520,1696,99.65
200,2018-04-29,157.74,225.0,13530,1696,99.72
201,2018-04-22,157.46,225.0,13449,1696,99.12
202,2018-04-15,157.62,225.0,13552,1696,99.88
203,2018-04-08,185.02,225.0,13551,1696,99.87
204,2018-04-01,202.55,225.0,15266,1696,100.01
205,2018-03-25,157.58,225.0,13146,1696,96.89
206,2018-03-18,149.27,225.0,13569,1696,100.01
207,2018-03-11,130.76,225.0,13571,1696,100.02
208,2018-03-04,134.53,225.0,13360,1696,98.47
209,2018-02-25,145.68,225.0,13567,1696,99.99
